Year,Sector,Fuel,ktoe
1995,Transport,Renewable,0
1996,Transport,Renewable,0
1997,Transport,Renewable,0
1998,Transport,Renewable,0
1999,Transport,Renewable,0
2000,Transport,Renewable,0
2001,Transport,Renewable,0
2002,Transport,Renewable,0
2003,Transport,Renewable,0
2004,Transport,Renewable,0
2005,Transport,Renewable,1.1
2006,Transport,Renewable,2.66
2007,Transport,Renewable,21.54
2008,Transport,Renewable,55.57
2009,Transport,Renewable,77.42
2010,Transport,Renewable,92.59
2011,Transport,Renewable,97.79
2012,Transport,Renewable,84.87
2013,Transport,Renewable,102.24
2014,Transport,Renewable,116.18
2015,Transport,Renewable,128.13
2016,Transport,Renewable,118.48
2017,Transport,Renewable,160.64
1990,Residential,Renewable,45
1991,Residential,Renewable,40
1992,Residential,Renewable,32
1993,Residential,Renewable,33
1994,Residential,Renewable,32
1995,Residential,Renewable,30
1996,Residential,Renewable,27
1997,Residential,Renewable,24
1998,Residential,Renewable,25
1999,Residential,Renewable,18
2000,Residential,Renewable,17
2001,Residential,Renewable,17
2002,Residential,Renewable,17
2003,Residential,Renewable,17
2004,Residential,Renewable,17
2005,Residential,Renewable,20
2006,Residential,Renewable,22
2007,Residential,Renewable,31
2008,Residential,Renewable,32
2009,Residential,Renewable,41
2010,Residential,Renewable,44
2011,Residential,Renewable,42
2012,Residential,Renewable,50
2013,Residential,Renewable,52
2014,Residential,Renewable,52
2015,Residential,Renewable,62
2016,Residential,Renewable,66
2017,Residential,Renewable,65
1990,Industry,Renewable,63
1991,Industry,Renewable,64
1992,Industry,Renewable,59
1993,Industry,Renewable,60
1994,Industry,Renewable,62
1995,Industry,Renewable,62
1996,Industry,Renewable,71
1997,Industry,Renewable,72
1998,Industry,Renewable,92
1999,Industry,Renewable,92
2000,Industry,Renewable,100
2001,Industry,Renewable,113
2002,Industry,Renewable,113
2003,Industry,Renewable,108
2004,Industry,Renewable,129
2005,Industry,Renewable,163
2006,Industry,Renewable,164
2007,Industry,Renewable,153
2008,Industry,Renewable,139
2009,Industry,Renewable,140
2010,Industry,Renewable,152
2011,Industry,Renewable,142
2012,Industry,Renewable,135
2013,Industry,Renewable,141
2014,Industry,Renewable,171
2015,Industry,Renewable,179
2016,Industry,Renewable,174
2017,Industry,Renewable,201
1990,Services,Renewable,0
1991,Services,Renewable,0
1992,Services,Renewable,0
1993,Services,Renewable,0
1994,Services,Renewable,0
1995,Services,Renewable,0
1996,Services,Renewable,0
1997,Services,Renewable,0
1998,Services,Renewable,0
1999,Services,Renewable,0
2000,Services,Renewable,0
2001,Services,Renewable,0
2002,Services,Renewable,0
2003,Services,Renewable,3
2004,Services,Renewable,3
2005,Services,Renewable,4
2006,Services,Renewable,8
2007,Services,Renewable,13
2008,Services,Renewable,20
2009,Services,Renewable,23
2010,Services,Renewable,21
2011,Services,Renewable,26
2012,Services,Renewable,30
2013,Services,Renewable,37
2014,Services,Renewable,42
2015,Services,Renewable,32
2016,Services,Renewable,44
2017,Services,Renewable,46
1990,Agri & Fisheries,Renewable,0
1991,Agri & Fisheries,Renewable,0
1992,Agri & Fisheries,Renewable,0
1993,Agri & Fisheries,Renewable,0
1994,Agri & Fisheries,Renewable,0
1995,Agri & Fisheries,Renewable,0
1996,Agri & Fisheries,Renewable,0
1997,Agri & Fisheries,Renewable,0
1998,Agri & Fisheries,Renewable,0
1999,Agri & Fisheries,Renewable,0
2000,Agri & Fisheries,Renewable,0
2001,Agri & Fisheries,Renewable,0
2002,Agri & Fisheries,Renewable,0
2003,Agri & Fisheries,Renewable,0
2004,Agri & Fisheries,Renewable,0
2005,Agri & Fisheries,Renewable,0
2006,Agri & Fisheries,Renewable,0
2007,Agri & Fisheries,Renewable,0
2008,Agri & Fisheries,Renewable,0
2009,Agri & Fisheries,Renewable,0
2010,Agri & Fisheries,Renewable,0
2011,Agri & Fisheries,Renewable,0
2012,Agri & Fisheries,Renewable,0
2013,Agri & Fisheries,Renewable,0
2014,Agri & Fisheries,Renewable,0
2015,Agri & Fisheries,Renewable,0
2016,Agri & Fisheries,Renewable,0
2017,Agri & Fisheries,Renewable,0
1990,Transport,NonRenWaste,0
1991,Transport,NonRenWaste,0
1992,Transport,NonRenWaste,0
1993,Transport,NonRenWaste,0
1994,Transport,NonRenWaste,0
1995,Transport,NonRenWaste,0
1996,Transport,NonRenWaste,0
1997,Transport,NonRenWaste,0
1998,Transport,NonRenWaste,0
1999,Transport,NonRenWaste,0
2000,Transport,NonRenWaste,0
2001,Transport,NonRenWaste,0
2002,Transport,NonRenWaste,0
2003,Transport,NonRenWaste,0
2004,Transport,NonRenWaste,0
2005,Transport,NonRenWaste,0
2006,Transport,NonRenWaste,0
2007,Transport,NonRenWaste,0
2008,Transport,NonRenWaste,0
2009,Transport,NonRenWaste,0
2010,Transport,NonRenWaste,0
2011,Transport,NonRenWaste,0
2012,Transport,NonRenWaste,0
2013,Transport,NonRenWaste,0
2014,Transport,NonRenWaste,0
2015,Transport,NonRenWaste,0
2016,Transport,NonRenWaste,0
2017,Transport,NonRenWaste,0
1990,Residential,NonRenWaste,0
1991,Residential,NonRenWaste,0
1992,Residential,NonRenWaste,0
1993,Residential,NonRenWaste,0
1994,Residential,NonRenWaste,0
